hashtag,camp
fossilfools,YES
smoko,YES
arsonmyarse,YES
dontgetderailed,YES
koalakiller,YES
factsmatter,YES
only24,YES
astroturfing,YES
ouch,YES
scottfrommarketing,YES
tasfires,NO
greenfires,NO
ecoterrorism,NO
greensfire,NO
safires,NO
arsonistemergency,NO
laborfail,NO
nsw,NO
smh,NO
royalcommission,NO
