hashtag,camp
aflw,YES
aflfreonorth,YES
taylakickchallenge,YES
womeninsport,YES
aflcrowshawks,YES
aflsaintssuns,YES
foreverfreo,YES
politas,YES
weflyasone,YES
aflwcrowscats,YES
onthisday,NO
nysutwomen,NO
unionstrong,NO
pasd37,NO
wapol,NO
icymi,NO
bannoncompetes,NO
1u,NO
noworries,NO
