hashtag,camp
itsthegreensfault,SUP.
victoria,SUP.
globalwarming,SUP.
theirabc,SUP.
climatecultist,SUP.
indianoceandipole,SUP.
greens,SUP.
ecoterrorism,SUP.
melbourne,SUP.
notmyabc,SUP.
blacksummer,OPP.
fossilfools,OPP.
koalasnotcoal,OPP.
arsonhoax,OPP.
arsonmyarse,OPP.
dontgetderailed,OPP.
smoko,OPP.
bots,OPP.
arseholeemergency,OPP.
fossilfuel,OPP.
